index,Año,Trimestre,Provincia,Mbps (Media de bajada),Accesos por cada 100 hab,Accesos por cada 100 hogares,Latitud,Longitud
227,2021,3,LA RIOJA,38.86795185445044,20.565964530219404,77.26016061386845,-29.330863895517307,-67.13983451857555
228,2021,3,MENDOZA,13.365156173184468,12.710228113581037,45.54828468056102,-33.368795530481485,-68.68534600457129
229,2021,3,MISIONES,30.87871831426499,12.411772581325812,45.57065365808786,-27.058215458325986,-54.96724865075839
230,2021,3,NEUQUEN,38.34222315428742,20.74816202113861,69.70653344501615,-38.49954335558701,-69.8742115743201
231,2021,3,RIO NEGRO,25.400065197148727,19.05925062746504,61.967213114754095,-39.89645026413934,-67.6105113380815
232,2021,3,SALTA,31.209681857038827,13.55352602212216,55.9642780595842,-24.248013631473587,-64.70250708135784
233,2021,3,SAN JUAN,7.041300820394967,10.050236642022517,39.4554480019856,-31.31442612644254,-68.50334378949645
234,2021,3,SAN LUIS,21.69870707116376,22.857408818789526,79.87043349212911,-32.98264595285886,-65.88683861327827
235,2021,3,SANTA CRUZ,7.692326941812981,13.016254371883871,43.74732028012005,-48.863730255517886,-69.86373350526509
236,2021,3,SANTA FE,33.13229624738131,23.58815244581783,75.01704762728227,-31.64634283294476,-61.04726054930406
237,2021,3,SANTIAGO DEL ESTERO,13.352723533519551,11.660736690891678,47.0,-27.784103764741893,-63.62189998971087
238,2021,3,TIERRA DEL FUEGO,9.52,28.150170112829368,94.95386825985028,-62.35015217161648,-59.53190998460846
239,2021,3,TUCUMAN,42.10118530571482,13.533446775711845,54.63604486100796,-26.998180477681764,-65.29453734502505
240,2021,2,BUENOS AIRES,52.75542937003713,23.35247372787298,70.00330336027972,-35.633728326052875,-59.695392866402734
242,2021,2,CATAMARCA,42.18506376779111,13.313748671467298,52.34030966263861,-27.97273476331947,-66.12713970412685
243,2021,2,CHACO,37.39690959622207,11.580041340539402,43.32762729293539,-26.86207729911804,-60.15511735633289
244,2021,2,CHUBUT,7.67690621713348,22.159781771420207,72.29410481936469,-44.077151734192086,-68.66765299463769
245,2021,2,CORDOBA,39.59011648994794,24.528406291253745,80.11518795931242,-31.846608244153405,-63.96214628932277
246,2021,2,CORRIENTES,30.368054802005656,11.46506458012956,43.5411637336848,-28.61578113415668,-57.97533573736128
247,2021,2,ENTRE RIOS,27.61897306203556,18.435680632917915,61.660264464787886,-31.925167566210387,-59.26302098168299
248,2021,2,FORMOSA,23.96630452806761,8.456293049570467,33.22548419322613,-25.09315954739276,-59.46860152020448
249,2021,2,JUJUY,25.812477856862227,14.366784069218694,56.182157011467694,-23.523573011085336,-65.43805280478172
250,2021,2,LA PAMPA,12.27922373804818,27.043558440191944,82.08000672325404,-36.47714174789248,-64.4553406128059
251,2021,2,LA RIOJA,38.53489438300775,20.49158509575061,76.9786615851933,-29.330863895517307,-67.13983451857555
252,2021,2,MENDOZA,13.465987205003026,11.433847066800618,40.97324182617088,-33.368795530481485,-68.68534600457129
253,2021,2,MISIONES,28.682221735396933,12.26014659485293,45.0128113119994,-27.058215458325986,-54.96724865075839
254,2021,2,NEUQUEN,36.10972145846688,20.58023612564588,69.14021084638621,-38.49954335558701,-69.8742115743201
255,2021,2,RIO NEGRO,23.74844668144268,19.052051860128397,61.94204057417748,-39.89645026413934,-67.6105113380815
256,2021,2,SALTA,29.239354220742428,13.303441391384512,54.930090174788894,-24.248013631473587,-64.70250708135784
257,2021,2,SAN JUAN,6.993162601626016,10.00671906693712,39.28402570062062,-31.31442612644254,-68.50334378949645
258,2021,2,SAN LUIS,21.66188998963924,23.89055527674358,83.47810720063075,-32.98264595285886,-65.88683861327827
259,2021,2,SANTA CRUZ,7.629667005202396,13.096756425784957,44.01491665543425,-48.863730255517886,-69.86373350526509
260,2021,2,SANTA FE,30.7018831645519,23.60478745301367,75.06878626293008,-31.64634283294476,-61.04726054930406
261,2021,2,SANTIAGO DEL ESTERO,12.718797838683304,11.554388875216851,46.557275364921054,-27.784103764741893,-63.62189998971087
262,2021,2,TIERRA DEL FUEGO,8.591921426483484,20.126647945777083,67.88580775229184,-62.35015217161648,-59.53190998460846
263,2021,2,TUCUMAN,40.30992032851357,13.606163819728009,54.928196510348045,-26.998180477681764,-65.29453734502505
264,2021,1,BUENOS AIRES,50.78565608506508,22.99835397576201,69.10524076185938,-35.633728326052875,-59.695392866402734
266,2021,1,CATAMARCA,39.96652623965282,12.438278918256517,48.89909292784824,-27.97273476331947,-66.12713970412685
267,2021,1,CHACO,33.6262012999863,11.528896477487844,43.13649241708794,-26.86207729911804,-60.15511735633289
268,2021,1,CHUBUT,7.531527409144197,21.147838315076264,68.9942808881567,-44.077151734192086,-68.66765299463769
269,2021,1,CORDOBA,36.16879932843764,24.061371645661502,78.59028062380018,-31.846608244153405,-63.96214628932277
270,2021,1,CORRIENTES,25.985171359720063,11.234115869536096,42.664128438821415,-28.61578113415668,-57.97533573736128
271,2021,1,ENTRE RIOS,23.87133437318357,18.070581721504357,60.439449728342346,-31.925167566210387,-59.26302098168299
272,2021,1,FORMOSA,20.980327506975215,8.330895284429907,32.732955756327215,-25.09315954739276,-59.46860152020448
273,2021,1,JUJUY,26.777362312404005,14.226045966500736,55.63244789620541,-23.523573011085336,-65.43805280478172
274,2021,1,LA PAMPA,10.728511929531797,26.943299898725044,81.77676345752207,-36.47714174789248,-64.4553406128059
275,2021,1,LA RIOJA,12.697554732181876,13.258360163449572,49.80693519079345,-29.330863895517307,-67.13983451857555
276,2021,1,MENDOZA,12.599361245254226,10.926002451479471,39.153661528996416,-33.368795530481485,-68.68534600457129
277,2021,1,MISIONES,25.076826126081443,11.758811611223322,43.172438905971845,-27.058215458325986,-54.96724865075839
278,2021,1,NEUQUEN,34.23850264753642,19.895917331182982,66.84208942045272,-38.49954335558701,-69.8742115743201
279,2021,1,RIO NEGRO,21.92390676083096,18.724905657874665,60.87924030325769,-39.89645026413934,-67.6105113380815
280,2021,1,SALTA,27.31884069404982,13.061128426236175,53.93001926339093,-24.248013631473587,-64.70250708135784
281,2021,1,SAN JUAN,6.910089995382067,9.948368694803314,39.055194335357605,-31.31442612644254,-68.50334378949645
282,2021,1,SAN LUIS,21.594379804710776,23.24883515831701,81.23730177127507,-32.98264595285886,-65.88683861327827
