index,Año,Trimestre,Provincia,Mbps (Media de bajada),Accesos por cada 100 hab,Accesos por cada 100 hogares,Latitud,Longitud,Accesos_siguiente_trimestre,KPI_propuesto,Mbps_ano_anterior,KPI_crecimiento_anual,Variacion_trimestral,KPI_variacion_trimestral_media
143,2022,3,TUCUMAN,53.36,15.14,61.14,-26.998180477681764,-65.29453734502505,59.31,2.99313052011776,98.85,-46.0192210419828,0.02000000000000135,-0.1836166664254808
144,2022,2,BUENOS AIRES,65.5,26.12927127832741,77.58,-35.633728326052875,-59.695392866402734,76.07814661157262,1.9358770152453957,138.35,-52.65630646910011,-0.24072872167259263,-0.31174246199290945
146,2022,2,CATAMARCA,56.56,15.871790195247083,62.4,-27.97273476331947,-66.12713970412685,58.20635083561171,6.72059160959662,86.13,-34.3318239869964,-0.7482098047529178,-0.5060951062511716
147,2022,2,CHACO,50.61,11.70254390369554,43.79,-26.86207729911804,-60.15511735633289,44.05948009941883,-0.6153918689628419,105.45,-52.005689900426745,-0.017456096304460544,0.06133551010903604
148,2022,2,CHUBUT,14.91,25.499919336270644,83.19,-44.077151734192086,-68.66765299463769,88.05274093835774,-5.845343116189141,18.58,-19.752421959095795,-0.3600806637293559,0.16718991577609987
149,2022,2,CORDOBA,53.51,26.781590841133493,87.48,-31.846608244153405,-63.96214628932277,85.75745356313551,1.9690745734619237,111.82,-52.146306564120906,-0.25840915886650606,-0.23618444541220818
150,2022,2,CORRIENTES,43.31,12.732146965383649,48.35,-28.61578113415668,-57.97533573736128,47.644635141502334,1.4588725098193736,97.21,-55.446970476288435,0.04214696538364926,-0.29117967817180235
151,2022,2,ENTRE RIOS,40.03,19.10468595065942,63.9,-31.925167566210387,-59.26302098168299,63.70090347123158,0.31157516239189653,89.37,-55.20868300324494,0.0646859506594204,-0.08114868226973027
152,2022,2,FORMOSA,28.47,11.049814591140091,43.42,-25.09315954739276,-59.46860152020448,34.955686995751336,19.494041925952708,77.32,-63.17899637868598,-0.09018540885990944,-0.243393141100392
153,2022,2,JUJUY,29.39,14.656913524540675,57.32,-23.523573011085336,-65.43805280478172,58.06462866426784,-1.299073036056949,43.56,-32.52984389348026,-0.4030864754593253,-0.008089542842651731
154,2022,2,LA PAMPA,16.07,30.632721559665782,92.98,-36.47714174789248,-64.4553406128059,91.66332531408716,1.41608376630764,22.78,-29.45566286215979,-1.187278440334218,-0.402396242149357
155,2022,2,LA RIOJA,43.28,21.331409216914373,80.14,-29.330863895517307,-67.13983451857555,78.77459866564503,1.7037700703206524,63.55,-31.896144767899287,-0.13859078308562545,-0.06520645693264004
156,2022,2,MENDOZA,29.72,13.782233784570575,49.39,-33.368795530481485,-68.68534600457129,48.73524093558345,1.3256915659375428,42.69,-30.38182244085266,-0.45776621542942486,-0.18513086256119982
157,2022,2,MISIONES,46.23,13.89002818196789,51.0,-27.058215458325986,-54.96724865075839,49.04334199772953,3.8365843181773975,90.55,-48.94533406957483,-0.21997181803210886,-0.33561516582436335
158,2022,2,NEUQUEN,46.53,23.81745752817118,80.02,-38.49954335558701,-69.8742115743201,74.17305509992715,7.306854411488181,93.97,-50.4841970841758,-0.10254247182882281,-0.32563489347642705
159,2022,2,RIO NEGRO,33.26,20.8675435273834,67.85,-39.89645026413934,-67.6105113380815,67.03640754987029,1.1991045690931528,70.76,-52.9960429621255,-0.04245647261659968,-0.16294253978901452
160,2022,2,SALTA,38.77,13.936010557448652,57.54,-24.248013631473587,-64.70250708135784,56.10759340849759,2.4894101346930944,79.1,-50.98609355246523,-0.05398944255134808,-0.09545848666156198
161,2022,2,SAN JUAN,14.44,12.597912455631214,49.46,-31.31442612644254,-68.50334378949645,43.54598160933163,11.957174263381253,20.39,-29.180971064247185,-0.34208754436878586,-0.3944708828483412
162,2022,2,SAN LUIS,19.32,23.396972678771853,81.76,-32.98264595285886,-65.88683861327827,80.72423060601774,1.2668412353012033,103.84,-81.3944530046225,0.006972678771852259,-0.6745859420781546
